variable,name,description,behaviour,computed_at_runtime_or_static
relation.name.casing.camel.plural,relation name casing camel plural,Plural camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.pascal.plural,relation name casing pascal plural,Plural pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.snake.plural,relation name casing snake plural,Plural snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.kebab.plural,relation name casing kebab plural,Plural kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.path.dot.plural,relation name path dot plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.path.slash.plural,relation name path slash plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.path.filesystem.plural,relation name path filesystem plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.constant.plural,relation name casing constant plural,Plural constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.train.plural,relation name casing train plural,Plural train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.lower.plural,relation name casing lower plural,Plural lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.upper.plural,relation name casing upper plural,Plural upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.original,index name original,Original input name before normalization.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,static
index.name.parts.array.all,index name parts array all,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
index.name.parts.array.count,index name parts array count,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
index.name.word,index name word,Last or primary word in the parsed name. for the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.words,index name words,Human readable words joined by spaces. for the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.words.lower,index name words lower,Lowercase words joined by spaces. for the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.words.upper,index name words upper,Uppercase words joined by spaces. for the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.words.title,index name words title,Title case words joined by spaces. for the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.casing.camel,index name casing camel,Camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
